series_game,rotation_tier,rest_bucket,cohort_n,market_covered_n,market_coverage_pct,historical_i2_under_pct,market_covered_i2_under_pct,fair_under_american,q1_total,median_total,q3_total,share_total_le_7_5_pct,share_total_eq_8_0_pct,share_total_eq_8_5_pct,share_total_ge_9_0_pct,median_devig_fullgame_under_pct,juice_covered_n,total_only_market_baseline_i2_under_pct,residual_all_vs_total_pp,residual_covered_vs_total_pp,juice_enhanced_market_baseline_i2_under_pct,residual_covered_vs_total_plus_juice_pp,interpretation
1,both_top3,0-1,657,600,91.32420091324201,57.3820395738204,57.99999999999999,-134.64285714285717,7.5,8.0,8.5,35.0,23.5,23.166666666666668,18.333333333333332,50.0,600,57.181013384964196,0.2010261888562015,0.8189866150357994,57.202256367301985,0.7977436326980114,Small residual: largely priced
1,both_top3,2+,273,248,90.84249084249085,57.14285714285714,57.25806451612904,-133.33333333333331,7.5,8.0,8.5,31.85483870967742,27.822580645161292,22.983870967741936,17.338709677419356,50.0,248,57.33639852399569,-0.19354138113855113,-0.0783340078666539,57.40637419560217,-0.14830967947313534,Small residual: largely priced
1,any_back,0-1,862,796,92.34338747099768,53.94431554524361,54.52261306532663,-117.12846347607051,8.0,8.5,9.0,19.472361809045225,21.733668341708544,26.884422110552762,31.90954773869347,50.0,796,56.20379152370211,-2.2594759784584917,-1.6811784583754763,56.19544076706291,-1.6728277017362791,Small residual: largely priced
1,any_back,2+,399,357,89.47368421052632,53.63408521303258,54.621848739495796,-115.67567567567566,8.0,8.5,9.0,19.88795518207283,17.366946778711483,29.69187675070028,33.05322128851541,50.0,357,56.02281129898499,-2.3887260859524084,-1.400962559489194,55.93296109062899,-1.3111123511332035,Small residual: largely priced
2,both_top3,0-1,572,525,91.78321678321679,58.91608391608392,58.857142857142854,-143.40425531914894,7.5,8.0,8.5,35.23809523809524,22.476190476190474,23.238095238095237,19.047619047619047,50.0,525,57.36570624596917,1.5503776701147443,1.4914366111736799,57.387159784744455,1.4699830723983953,Small residual: largely priced
2,both_top3,2+,344,305,88.66279069767442,58.139534883720934,58.36065573770492,-138.8888888888889,7.5,8.0,8.5,33.77049180327869,25.57377049180328,17.049180327868854,23.60655737704918,50.0,305,57.036834594856046,1.1027002888648885,1.3238211428488689,57.24701771069945,1.113638027005459,Small residual: largely priced
2,any_back,0-1,779,713,91.52759948652118,55.327342747111686,55.820476858345025,-123.85057471264369,8.0,8.5,9.0,20.757363253856944,18.653576437587656,26.08695652173913,34.50210378681627,50.0,713,56.120170102399435,-0.7928273552877507,-0.2996932440544109,56.04711865184663,-0.22664179350160296,Small residual: largely priced
2,any_back,2+,409,362,88.50855745721272,50.8557457212714,51.38121546961326,-103.48258706467662,8.0,8.5,9.0,23.204419889502763,20.165745856353592,28.45303867403315,28.176795580110497,50.0,362,56.319642653211,-5.463896931939605,-4.938427183597738,56.41433498403106,-5.033119514417795,Negative residual: market baseline >= cohort
3,both_top3,0-1,443,394,88.93905191873588,56.659142212189614,58.121827411167516,-130.72916666666666,7.5,8.0,8.5,31.725888324873097,20.81218274111675,25.380710659898476,22.081218274111674,50.0,394,57.13902541671384,-0.47988320452422295,0.9828019944536748,57.17723289208644,0.9445945190810767,Small residual: largely priced
3,both_top3,2+,370,333,90.0,63.24324324324324,63.36336336336337,-172.05882352941174,7.5,8.0,8.5,33.033033033033036,20.42042042042042,23.723723723723722,22.822822822822822,50.0,333,57.090030973561475,6.153212269681763,6.2733323898018885,57.18516924086499,6.178194122498382,Large residual: not fully priced
3,any_back,0-1,592,542,91.55405405405405,53.71621621621622,54.05904059040591,-116.05839416058394,8.0,8.5,9.0,18.819188191881917,19.18819188191882,27.85977859778598,34.132841328413285,50.0,542,56.15138233174521,-2.435166115528997,-2.0923417413393097,56.09122527383394,-2.03218468342804,Negative residual: market baseline >= cohort
3,any_back,2+,522,457,87.5478927203065,52.68199233716475,53.17286652078774,-111.33603238866397,8.0,8.5,9.0,19.474835886214443,19.91247264770241,25.164113785557987,35.44857768052516,50.0,457,55.997669437598674,-3.3156771004339225,-2.824802916810931,55.9326732328432,-2.759806712055457,Negative residual: market baseline >= cohort
4,both_top3,0-1,90,85,94.44444444444444,71.11111111111111,70.58823529411765,-246.1538461538462,7.5,8.0,8.5,35.294117647058826,22.352941176470587,22.352941176470587,20.0,50.0,85,57.46645762709009,13.64465348402103,13.121777667027567,57.42599874953407,13.162236544583584,Large residual: not fully priced
4,both_top3,2+,78,73,93.58974358974359,64.1025641025641,64.38356164383562,-178.57142857142858,7.5,8.0,9.0,30.136986301369863,21.91780821917808,17.80821917808219,30.136986301369863,50.0,73,56.681243995066644,7.421320107497465,7.702317648768975,56.78112037081841,7.602441273017213,Large residual: not fully priced
4,any_back,0-1,122,115,94.26229508196721,62.295081967213115,60.86956521739131,-165.21739130434784,8.0,8.5,9.0,21.73913043478261,13.91304347826087,30.434782608695652,33.91304347826087,50.0,115,56.764092317979234,5.530989649233886,4.105472899412077,56.751050748735906,4.118514468655398,Positive residual: partially priced
4,any_back,2+,113,101,89.38053097345133,58.4070796460177,56.43564356435643,-140.4255319148936,8.0,8.5,9.0,19.801980198019802,13.861386138613861,32.67326732673267,33.663366336633665,50.0,101,55.80662781037521,2.600451835642492,0.6290157539812213,55.91742461334286,0.5182189510135715,Small residual: largely priced
