n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
113,0.40707964601769914,0.9578065739570165,79.64601769911505,9.734513274336283,10.619469026548673,2.0,52.17391304347826,66.55911765037561,13.086900048739436,77.30115136418966,2.3448663349253884,7.0,1,top,2021
278,0.381294964028777,0.6844142014907929,76.2589928057554,14.748201438848922,8.992805755395683,1.606060606060606,37.878787878787875,68.2976406433813,7.961352162374102,75.53453214649522,0.7244606592601732,7.0,1,top,2022
96,0.3125,0.5328947368421053,81.25,9.375,9.375,1.6666666666666667,50.0,73.16156289466417,8.08843710533582,78.93941769906601,2.310582300933983,7.0,1,top,2023
86,0.3953488372093023,0.6183310533515732,75.5813953488372,12.790697674418606,11.627906976744185,1.619047619047619,47.61904761904761,67.34450755684334,8.236887791993874,73.08797145788907,2.493423890948143,7.0,1,top,2024
82,0.17073170731707318,0.24209575429087618,87.8048780487805,7.317073170731707,4.878048780487805,1.4,40.0,84.30477266690627,3.500105381874219,86.70571849494978,1.0991595538307086,7.0,1,top,2025
269,0.4163568773234201,0.773761304999168,74.72118959107806,14.869888475836431,10.408921933085502,1.6470588235294117,41.17647058823529,65.9444887559058,8.776700835172269,74.0384850886989,0.6827045023791611,7.5,1,top,2021
478,0.36401673640167365,0.6638597229897459,77.19665271966527,14.435146443514643,8.368200836820083,1.5963302752293578,36.69724770642202,69.48795648620774,7.708696233457535,76.6791715959131,0.5174811237521726,7.5,1,top,2022
275,0.36363636363636365,0.6337093563370936,76.72727272727272,15.272727272727273,8.0,1.5625,34.375,69.51439283988788,7.212879887384849,76.1893090041485,0.537963723124224,7.5,1,top,2023
366,0.4262295081967213,0.8863238266337301,76.22950819672131,12.568306010928962,11.202185792349727,1.793103448275862,47.12643678160919,65.29664637665596,10.932861820065353,74.89547093143581,1.3340372652854926,7.5,1,top,2024
224,0.48660714285714285,0.9235866431774504,70.98214285714286,16.964285714285715,12.053571428571429,1.676923076923077,41.53846153846154,61.47084781312011,9.511295044022749,70.663925311568,0.3182175455748615,7.5,1,top,2025
