pregame_total,home_favorite_tier,n,bottom9_skipped_pct,i9_under05_pct,i9_fair_under_american,under05_if_bottom9_played_pct
7.0,-300 or stronger,9,77.77777777777779,88.88888888888889,-799.9999999999997,50.0
7.0,-250 to -299,17,70.58823529411765,70.58823529411765,-240.00000000000006,60.0
7.0,-225 to -249,15,53.333333333333336,73.33333333333333,-274.99999999999994,71.42857142857143
7.0,-200 to -224,32,53.125,68.75,-220.0,46.666666666666664
7.0,-175 to -199,64,56.25,78.125,-357.14285714285717,67.85714285714286
7.0,-150 to -174,85,50.588235294117645,71.76470588235294,-254.16666666666669,54.761904761904766
7.0,weaker than -150,250,43.2,68.0,-212.50000000000003,58.45070422535211
7.5,-300 or stronger,35,54.285714285714285,62.857142857142854,-169.23076923076923,31.25
7.5,-250 to -299,41,65.85365853658537,58.536585365853654,-141.17647058823528,42.857142857142854
7.5,-225 to -249,67,56.71641791044776,70.1492537313433,-235.00000000000006,62.06896551724138
7.5,-200 to -224,72,62.5,72.22222222222221,-259.99999999999994,44.44444444444444
7.5,-175 to -199,145,57.931034482758626,74.48275862068967,-291.891891891892,60.65573770491803
7.5,-150 to -174,202,48.51485148514851,63.86138613861386,-176.7123287671233,47.11538461538461
7.5,weaker than -150,623,44.46227929373997,64.20545746388443,-179.37219730941703,51.445086705202314
8.0,-300 or stronger,24,75.0,79.16666666666666,-379.9999999999999,50.0
8.0,-250 to -299,71,61.97183098591549,67.6056338028169,-208.69565217391303,40.74074074074074
8.0,-225 to -249,58,63.793103448275865,74.13793103448276,-286.66666666666674,61.904761904761905
8.0,-200 to -224,92,53.2608695652174,72.82608695652173,-268.0,60.46511627906976
8.0,-175 to -199,173,50.86705202312138,66.47398843930635,-198.27586206896547,50.588235294117645
8.0,-150 to -174,251,46.21513944223107,65.33864541832669,-188.50574712643677,47.40740740740741
8.0,weaker than -150,834,43.04556354916067,65.34772182254197,-188.58131487889278,52.0
8.5,-300 or stronger,46,73.91304347826086,84.78260869565217,-557.1428571428571,50.0
8.5,-250 to -299,73,68.4931506849315,75.34246575342466,-305.5555555555556,60.86956521739131
8.5,-225 to -249,81,74.07407407407408,79.01234567901234,-376.47058823529403,66.66666666666666
8.5,-200 to -224,142,63.38028169014085,69.71830985915493,-230.23255813953486,51.92307692307693
8.5,-175 to -199,224,52.67857142857143,68.30357142857143,-215.49295774647888,54.71698113207547
8.5,-150 to -174,367,50.13623978201635,69.20980926430518,-224.7787610619469,54.09836065573771
8.5,weaker than -150,1119,44.23592493297587,65.14745308310992,-186.92307692307693,50.0
9.0,-300 or stronger,16,75.0,62.5,-166.66666666666666,25.0
9.0,-250 to -299,52,63.46153846153846,80.76923076923077,-420.00000000000006,63.1578947368421
9.0,-225 to -249,63,55.55555555555556,66.66666666666666,-199.99999999999994,42.857142857142854
9.0,-200 to -224,84,45.23809523809524,65.47619047619048,-189.6551724137931,45.65217391304348
9.0,-175 to -199,147,54.421768707483,64.62585034013605,-182.6923076923077,49.25373134328358
9.0,-150 to -174,196,51.53061224489795,67.85714285714286,-211.11111111111114,48.421052631578945
9.0,weaker than -150,694,48.126801152737755,63.40057636887608,-173.22834645669292,49.72222222222222
