core_stability_rank,sample_tier,pregame_total,inning,N,min_season_n,over05,under05,over_fair_odds,under_fair_odds,annual_sd_pp,annual_range_pp,pooled_se_pp,p2021,p2022,p2023,p2024,p2025
,THIN,6.000000,1,12,1,0.250000,0.750000,300,-300,15.567496,28.571429,12.500000,0.285714,0.250000,,,0.000000
,THIN,6.000000,2,12,1,0.333333,0.666667,200,-200,50.169780,100.000000,13.608276,0.428571,0.000000,,,1.000000
,THIN,6.000000,3,12,1,0.416667,0.583333,140,-140,36.654296,71.428571,14.231876,0.285714,0.500000,,,1.000000
,THIN,6.000000,4,12,1,0.166667,0.833333,500,-500,16.495722,28.571429,10.758287,0.285714,0.000000,,,0.000000
,THIN,6.000000,5,12,1,0.583333,0.416667,-140,140,28.645737,57.142857,14.231876,0.428571,0.750000,,,1.000000
,THIN,6.000000,6,12,1,0.333333,0.666667,200,-200,42.307990,75.000000,13.608276,0.285714,0.250000,,,1.000000
,THIN,6.000000,7,12,1,0.416667,0.583333,140,-140,27.042421,50.000000,14.231876,0.428571,0.500000,,,0.000000
,THIN,6.000000,8,10,1,0.100000,0.900000,900,-900,14.433757,25.000000,9.486833,0.000000,0.250000,,,0.000000
,THIN,6.000000,9,10,1,0.500000,0.500000,-100,-100,40.926764,80.000000,15.811388,0.800000,0.250000,,,0.000000
,THIN,6.500000,1,149,5,0.409396,0.590604,144,-144,14.087097,37.254902,4.027590,0.513514,0.421687,0.235294,0.142857,0.400000
,THIN,6.500000,2,149,5,0.382550,0.617450,161,-161,14.711661,32.941176,3.982092,0.432432,0.361446,0.529412,0.142857,0.200000
,THIN,6.500000,3,149,5,0.416107,0.583893,140,-140,18.447423,44.705882,4.038896,0.513514,0.337349,0.647059,0.428571,0.200000
,THIN,6.500000,4,149,5,0.436242,0.563758,129,-129,31.638996,85.714286,4.061591,0.459459,0.385542,0.588235,0.142857,1.000000
,THIN,6.500000,5,149,5,0.449664,0.550336,122,-122,10.024636,25.714286,4.076733,0.459459,0.409639,0.588235,0.571429,0.400000
,THIN,6.500000,6,149,5,0.463087,0.536913,116,-116,12.735979,35.521236,4.086316,0.540541,0.409639,0.647059,0.285714,0.400000
,THIN,6.500000,7,149,5,0.389262,0.610738,157,-157,18.686262,52.972973,3.994460,0.270270,0.385542,0.529412,0.428571,0.800000
,THIN,6.500000,8,143,5,0.391608,0.608392,155,-155,16.611989,42.352941,4.082866,0.322581,0.457831,0.176471,0.285714,0.600000
,THIN,6.500000,9,143,5,0.321678,0.678322,211,-211,7.731170,18.790323,3.905670,0.322581,0.349398,0.235294,0.285714,0.200000
52,CORE,7.000000,1,655,82,0.425954,0.574046,135,-135,6.795155,18.292683,1.932120,0.415929,0.428058,0.458333,0.500000,0.317073
14,CORE,7.000000,2,655,82,0.361832,0.638168,176,-176,1.886708,3.875969,1.877588,0.371681,0.370504,0.333333,0.372093,0.341463
39,CORE,7.000000,3,655,82,0.401527,0.598473,149,-149,3.669775,7.912649,1.915398,0.442478,0.384892,0.385417,0.372093,0.451220
40,CORE,7.000000,4,655,82,0.403053,0.596947,148,-148,3.671857,9.738551,1.916586,0.380531,0.438849,0.406250,0.372093,0.341463
11,CORE,7.000000,5,655,82,0.442748,0.557252,126,-126,1.754340,4.369919,1.940812,0.433628,0.446043,0.458333,0.453488,0.414634
43,CORE,7.000000,6,655,82,0.427481,0.572519,134,-134,3.766084,8.458531,1.933004,0.380531,0.413669,0.458333,0.465116,0.463415
54,CORE,7.000000,7,655,82,0.418321,0.581679,139,-139,8.042626,21.781055,1.927418,0.398230,0.406475,0.458333,0.534884,0.317073
53,CORE,7.000000,8,651,82,0.447005,0.552995,124,-124,6.875247,17.320736,1.948616,0.449541,0.442446,0.510417,0.337209,0.500000
47,CORE,7.000000,9,651,82,0.310292,0.689708,222,-222,4.489562,11.360214,1.813123,0.321101,0.334532,0.312500,0.220930,0.304878
27,CORE,7.500000,1,1612,224,0.454094,0.545906,120,-120,2.585610,6.860324,1.240079,0.468401,0.481172,0.450909,0.412568,0.450893
13,CORE,7.500000,2,1612,224,0.419355,0.580645,138,-138,1.868251,4.530152,1.229033,0.416357,0.405858,0.432727,0.442623,0.397321
28,CORE,7.500000,3,1612,224,0.444789,0.555211,125,-125,2.599259,6.928571,1.237723,0.427509,0.449791,0.480000,0.445355,0.410714
24,CORE,7.500000,4,1612,224,0.440447,0.559553,127,-127,2.511547,6.004564,1.236474,0.457249,0.416318,0.476364,0.423497,0.455357
48,CORE,7.500000,5,1612,224,0.439206,0.560794,128,-128,5.252355,12.453532,1.236099,0.375465,0.437238,0.400000,0.480874,0.500000
22,CORE,7.500000,6,1611,224,0.440720,0.559280,127,-127,2.361539,5.083954,1.236939,0.457249,0.444444,0.410909,0.461749,0.415179
37,CORE,7.500000,7,1610,224,0.459006,0.540994,118,-118,3.282517,9.353728,1.241909,0.501859,0.466387,0.469091,0.407104,0.464286
42,CORE,7.500000,8,1609,224,0.431324,0.568676,132,-132,3.722927,10.476190,1.234713,0.440299,0.420168,0.480000,0.437158,0.375000
2,CORE,7.500000,9,1607,224,0.343497,0.656503,191,-191,0.977388,1.952179,1.184562,0.354478,0.336842,0.356364,0.336986,0.339286
32,CORE,8.000000,1,2146,363,0.468779,0.531221,113,-113,2.711544,6.791662,1.076784,0.528926,0.435666,0.443548,0.463497,0.482850
18,CORE,8.000000,2,2146,363,0.422647,0.577353,137,-137,2.038493,5.544105,1.066319,0.415978,0.392777,0.430108,0.448217,0.416887
1,CORE,8.000000,3,2146,363,0.458527,0.541473,118,-118,0.860448,2.183193,1.075568,0.462810,0.453725,0.467742,0.461800,0.445910
15,CORE,8.000000,4,2146,363,0.459926,0.540074,117,-117,1.919492,5.096635,1.075864,0.454545,0.442438,0.459677,0.455008,0.493404
31,CORE,8.000000,5,2146,363,0.472041,0.527959,112,-112,3.312921,8.621098,1.077379,0.526171,0.455982,0.440860,0.477080,0.461741
41,CORE,8.000000,6,2145,363,0.459207,0.540793,118,-118,3.714637,8.272662,1.076026,0.451791,0.433409,0.516129,0.455782,0.445910
8,CORE,8.000000,7,2144,363,0.431903,0.568097,132,-132,1.716823,4.056671,1.069823,0.454545,0.431151,0.413978,0.440476,0.415344
6,CORE,8.000000,8,2144,363,0.457556,0.542444,119,-119,1.523480,3.978011,1.075869,0.462810,0.478555,0.465054,0.438776,0.449735
25,CORE,8.000000,9,2143,363,0.347643,0.652357,188,-188,2.491495,5.947304,1.028829,0.319559,0.343891,0.379032,0.362245,0.325397
4,CORE,8.500000,1,2871,478,0.487635,0.512365,105,-105,1.333212,2.955975,0.932938,0.490494,0.500000,0.501592,0.472033,0.476987
23,CORE,8.500000,2,2871,478,0.438523,0.561477,128,-128,2.448829,6.250532,0.926258,0.425856,0.478261,0.452229,0.414734,0.428870
