event,family,window,alpha,ridge,test_year,feature_count,n_train,n_test,comparator_logloss,challenger_logloss,logloss_improvement,comparator_brier,challenger_brier,brier_improvement
k,cross_event_profile,365d,100.0,1000.0,2024,6,499379,166558,0.5220362443723825,0.5219367050073479,9.953936503459548e-05,0.1706306776460596,0.1705937835171014,3.689412895821476e-05
k,outcome_composition,365d,25.0,0.0,2024,14,499379,166558,0.5220362443723825,0.5216736909191635,0.000362553453219,0.1706306776460596,0.1705007709604411,0.0001299066856185
k,sample_reliability,365d,100.0,100.0,2024,6,499379,166558,0.5220362443723825,0.5214516558678968,0.0005845885044857,0.1706306776460596,0.1704269354735076,0.0002037421725519
k,target_rate_history,365d,25.0,0.0,2024,2,490269,163852,0.5224502731930037,0.5220622239909268,0.0003880492020769,0.1708108180777024,0.1706723200365665,0.0001384980411359
baserunner,cross_event_profile,season,400.0,1000.0,2024,6,511244,169909,0.3017463086495853,0.3016275616965853,0.0001187469529999,0.0824162059548196,0.0823935610038581,2.2644950961492327e-05
baserunner,outcome_composition,365d,100.0,100.0,2024,14,512330,170460,0.3017886670323152,0.3011508561380333,0.0006378108942818,0.0824296806497695,0.0823239267123736,0.0001057539373959
baserunner,sample_reliability,365d,400.0,1000.0,2024,6,523267,176896,0.3021817518326328,0.3015735528376534,0.0006081989949793,0.0825576298986053,0.0824579660652308,9.966383337449423e-05
baserunner,target_rate_history,365d,100.0,0.0,2024,2,501736,167103,0.3017375785259309,0.3012131616692144,0.0005244168567165,0.0824200000884652,0.0823334650181266,8.653507033865027e-05
hr,cross_event_profile,365d,100.0,0.0,2024,6,511244,169909,0.1325105379370742,0.1324961489863567,1.438895071748103e-05,0.0289609184238425,0.0289545731381889,6.345285653627103e-06
hr,outcome_composition,season,100.0,0.0,2024,14,512330,170460,0.1326152548243702,0.1324857849738259,0.0001294698505443,0.0289866308850946,0.0289591354937463,2.7495391348320717e-05
hr,sample_reliability,90d,400.0,100.0,2024,6,523267,176896,0.1326361790973134,0.1324829822949582,0.0001531968023552,0.028991101343903,0.0289656762681426,2.542507576037273e-05
hr,target_rate_history,season,100.0,0.0,2024,2,501736,167103,0.1324086568378888,0.1323209863786859,8.767045920288208e-05,0.0289283691345938,0.0289056944732218,2.267466137205812e-05
nonhr_hit,cross_event_profile,365d,25.0,1000.0,2024,6,511187,169812,0.4811745639626429,0.4810574755528656,0.0001170884097773,0.1519791757290571,0.1519417610153051,3.741471375198757e-05
nonhr_hit,outcome_composition,365d,25.0,1000.0,2024,14,512273,170363,0.4812093945494269,0.4810404495874704,0.0001689449619565,0.1519945513254454,0.151941891250057,5.2660075388399896e-05
nonhr_hit,sample_reliability,365d,400.0,1000.0,2024,6,512273,170363,0.4812093945494269,0.4810795241338859,0.000129870415541,0.1519945513254454,0.15195311240922,4.143891622540585e-05
nonhr_hit,target_rate_history,365d,100.0,1000.0,2024,2,501679,167006,0.4809398875615479,0.4808393343314234,0.0001005532301245,0.1518830899715455,0.1518519927848275,3.109718671798212e-05
