event,pruning_round,family_removed,test_year,selected_families,ablated_families,n_test,conditional_logloss_improvement,conditional_brier_improvement
k,0,cross_event_profile,2023,cross_event_profile|sample_reliability,sample_reliability,168896,6.47928229458028e-06,4.691990249466871e-06
k,0,sample_reliability,2023,cross_event_profile|sample_reliability,cross_event_profile,168896,0.0008788187733117,0.0003156839778077
k,1,sample_reliability,2023,sample_reliability,comparator_only,168896,0.0009486690993025,0.0003390808131299
k,0,cross_event_profile,2024,cross_event_profile|sample_reliability,sample_reliability,166558,-1.1083590120475328e-05,-3.495415977383676e-06
k,0,sample_reliability,2024,cross_event_profile|sample_reliability,cross_event_profile,166558,0.0004739655493306,0.0001633526276163
k,1,sample_reliability,2024,sample_reliability,comparator_only,166558,0.0005845885044857,0.0002037421725519
baserunner,0,cross_event_profile,2023,cross_event_profile|sample_reliability,sample_reliability,177853,0.000100378428871,1.9458361217541964e-05
baserunner,0,sample_reliability,2023,cross_event_profile|sample_reliability,cross_event_profile,177853,0.0007274400369516,0.0001362121707416
baserunner,0,cross_event_profile,2024,cross_event_profile|sample_reliability,sample_reliability,176896,9.305106060986112e-05,1.9294977167391703e-05
baserunner,0,sample_reliability,2024,cross_event_profile|sample_reliability,cross_event_profile,176896,0.0005813214443985,9.519125288501296e-05
hr,0,cross_event_profile,2023,cross_event_profile|target_rate_history,target_rate_history,177853,1.9172082348750678e-05,1.0269151355588035e-06
hr,0,target_rate_history,2023,cross_event_profile|target_rate_history,cross_event_profile,177853,5.9054387018947496e-05,7.042623319259561e-06
hr,0,cross_event_profile,2024,cross_event_profile|target_rate_history,target_rate_history,176896,2.536686211790373e-05,3.9016006601298725e-06
hr,0,target_rate_history,2024,cross_event_profile|target_rate_history,cross_event_profile,176896,0.0001094048678138,2.13464868536635e-05
nonhr_hit,0,cross_event_profile,2023,cross_event_profile|sample_reliability|target_rate_history,sample_reliability|target_rate_history,172359,4.375913998566627e-05,1.0561564527722387e-05
nonhr_hit,0,sample_reliability,2023,cross_event_profile|sample_reliability|target_rate_history,cross_event_profile|target_rate_history,172359,3.560344970066076e-06,2.31880787329719e-06
nonhr_hit,0,target_rate_history,2023,cross_event_profile|sample_reliability|target_rate_history,cross_event_profile|sample_reliability,172359,2.1699310360778767e-06,1.5523687079688209e-06
nonhr_hit,1,cross_event_profile,2023,cross_event_profile|sample_reliability,sample_reliability,172359,4.143722238969527e-05,9.368806350884553e-06
nonhr_hit,1,sample_reliability,2023,cross_event_profile|sample_reliability,cross_event_profile,172359,6.046560969369397e-05,1.4419262566012224e-05
nonhr_hit,0,cross_event_profile,2024,cross_event_profile|sample_reliability|target_rate_history,sample_reliability|target_rate_history,170363,6.083066537104776e-05,1.93990311372072e-05
nonhr_hit,0,sample_reliability,2024,cross_event_profile|sample_reliability|target_rate_history,cross_event_profile|target_rate_history,170363,1.5877297492916664e-05,6.356503417903614e-06
nonhr_hit,0,target_rate_history,2024,cross_event_profile|sample_reliability|target_rate_history,cross_event_profile|sample_reliability,170363,-3.045980408233895e-06,-6.976433877814436e-07
nonhr_hit,1,cross_event_profile,2024,cross_event_profile|sample_reliability,sample_reliability,170363,5.963397942454485e-05,1.884887072825525e-05
nonhr_hit,1,sample_reliability,2024,cross_event_profile|sample_reliability,cross_event_profile,170363,7.264149296859479e-05,2.300555125653303e-05
