event,family,window,alpha,ridge,selection_2022_logloss_improvement,selection_2022_brier_improvement,selection_2022_n,validation_2023_logloss_improvement,validation_2023_brier_improvement,validation_2023_n,confirmation_2024_logloss_improvement,confirmation_2024_brier_improvement,confirmation_2024_n,earns_marginal_candidate_status
k,cross_event_profile,365d,100.0,1000.0,1.944033373946219e-06,6.860766956495734e-07,167178,7.632960828540813e-05,2.8088825571676024e-05,168896,9.953936503459548e-05,3.689412895821476e-05,166558,True
k,outcome_composition,365d,25.0,0.0,0.0005691514090772,0.0002115467085502,167178,0.0006958593128844,0.0002640787399217,168896,0.000362553453219,0.0001299066856185,166558,True
k,sample_reliability,365d,100.0,100.0,0.0013756909039958,0.0004963608496993,167178,0.0009486690993025,0.0003390808131299,168896,0.0005845885044857,0.0002037421725519,166558,True
k,target_rate_history,365d,25.0,0.0,0.0006533481726821,0.0002411133373694,163847,0.0007171414939121,0.0002657651133426,165837,0.0003880492020769,0.0001384980411359,163852,True
baserunner,cross_event_profile,season,400.0,1000.0,0.0001364172026716,2.896644909623769e-05,170486,0.0001798506132645,3.796468780424556e-05,171943,0.0001187469529999,2.2644950961492327e-05,169909,True
baserunner,outcome_composition,365d,100.0,100.0,0.0007329703142686,0.0001225321096405,170803,0.0006196923630749,0.0001240712487646,172392,0.0006378108942818,0.0001057539373959,170460,True
baserunner,sample_reliability,365d,400.0,1000.0,0.0007583563679385,0.0001231402502006,176279,0.0007434002297763,0.0001441625336715,177853,0.0006081989949793,9.966383337449423e-05,176896,True
baserunner,target_rate_history,365d,100.0,0.0,0.0006903497476428,0.0001142718496364,167050,0.0004724434276846,9.280932143256038e-05,168813,0.0005244168567165,8.653507033865027e-05,167103,True
hr,cross_event_profile,365d,100.0,0.0,0.0001922466896503,9.783355648031178e-06,170486,2.473828584029225e-05,6.517564089494887e-06,171943,1.438895071748103e-05,6.345285653627103e-06,169909,True
hr,outcome_composition,season,100.0,0.0,0.0006168849812676,6.112297323620369e-05,170803,7.185364644682335e-05,1.471690482637844e-05,172392,0.0001294698505443,2.7495391348320717e-05,170460,True
hr,sample_reliability,90d,400.0,100.0,0.0004360861149337,4.636746402954944e-05,176279,4.583206153213615e-05,1.0332566031858588e-05,177853,0.0001531968023552,2.542507576037273e-05,176896,True
hr,target_rate_history,season,100.0,0.0,0.0005840699776262,5.817798852093131e-05,167050,0.0001018109500298,1.4644968959320189e-05,168813,8.767045920288208e-05,2.267466137205812e-05,167103,True
nonhr_hit,cross_event_profile,365d,25.0,1000.0,9.637949990853878e-05,2.3893098401200907e-05,170462,8.872977703189289e-05,2.1733536553714128e-05,171910,0.0001170884097773,3.741471375198757e-05,169812,True
nonhr_hit,outcome_composition,365d,25.0,1000.0,0.0001648045881452,4.3029247110359936e-05,170779,0.000129917818327,3.17404470136784e-05,172359,0.0001689449619565,5.2660075388399896e-05,170363,True
nonhr_hit,sample_reliability,365d,400.0,1000.0,0.000211033505939,5.7216609976845634e-05,170779,0.0001111865754729,2.792925919303801e-05,172359,0.000129870415541,4.143891622540585e-05,170363,True
nonhr_hit,target_rate_history,365d,100.0,1000.0,0.0001567383525992,4.290597683226372e-05,167026,0.0001065629048274,2.634153293787356e-05,168780,0.0001005532301245,3.109718671798212e-05,167006,True
