event,family,window,alpha,ridge,test_year,feature_count,n_train,n_test,comparator_logloss,challenger_logloss,logloss_improvement,comparator_brier,challenger_brier,brier_improvement
k,cross_event_profile,365d,100.0,1000.0,2022,6,163305,167178,0.518060614487698,0.5180586704543241,1.944033373946219e-06,0.1690084102574577,0.1690077241807621,6.860766956495734e-07
k,outcome_composition,365d,25.0,0.0,2022,14,163305,167178,0.518060614487698,0.5174914630786208,0.0005691514090772,0.1690084102574577,0.1687968635489075,0.0002115467085502
k,sample_reliability,365d,100.0,100.0,2022,6,163305,167178,0.518060614487698,0.5166849235837022,0.0013756909039958,0.1690084102574577,0.1685120494077583,0.0004963608496993
k,target_rate_history,365d,25.0,0.0,2022,2,160585,163847,0.5186833962761348,0.5180300481034527,0.0006533481726821,0.1692631525227967,0.1690220391854273,0.0002411133373694
baserunner,cross_event_profile,season,400.0,1000.0,2022,6,168815,170486,0.3004806925569636,0.300344275354292,0.0001364172026716,0.0819997991793328,0.0819708327302366,2.896644909623769e-05
baserunner,outcome_composition,365d,100.0,100.0,2022,14,169135,170803,0.3005807695312038,0.2998477992169351,0.0007329703142686,0.0820320216721433,0.0819094895625028,0.0001225321096405
baserunner,sample_reliability,365d,400.0,1000.0,2022,6,169135,176279,0.3015272827190057,0.3007689263510671,0.0007583563679385,0.082362697117202,0.0822395568670014,0.0001231402502006
baserunner,target_rate_history,365d,100.0,0.0,2022,2,165873,167050,0.3000790564316856,0.2993887066840427,0.0006903497476428,0.081853235080184,0.0817389632305475,0.0001142718496364
hr,cross_event_profile,365d,100.0,0.0,2022,6,168815,170486,0.1278648641906552,0.1276726175010049,0.0001922466896503,0.0276696150684965,0.0276598317128485,9.783355648031178e-06
hr,outcome_composition,season,100.0,0.0,2022,14,169135,170803,0.1278842151043976,0.12726733012313,0.0006168849812676,0.0276752857804739,0.0276141628072377,6.112297323620369e-05
hr,sample_reliability,90d,400.0,100.0,2022,6,169135,176279,0.1279245117259605,0.1274884256110267,0.0004360861149337,0.0276841509537058,0.0276377834896762,4.636746402954944e-05
hr,target_rate_history,season,100.0,0.0,2022,2,165873,167050,0.1275871943882241,0.1270031244105978,0.0005840699776262,0.0275937866900537,0.0275356087015328,5.817798852093131e-05
nonhr_hit,cross_event_profile,365d,25.0,1000.0,2022,6,168815,170462,0.4823008733702611,0.4822044938703526,9.637949990853878e-05,0.1525637695572216,0.1525398764588204,2.3893098401200907e-05
nonhr_hit,outcome_composition,365d,25.0,1000.0,2022,14,169135,170779,0.4822471803690242,0.482082375780879,0.0001648045881452,0.1525400791784631,0.1524970499313528,4.3029247110359936e-05
nonhr_hit,sample_reliability,365d,400.0,1000.0,2022,6,169135,170779,0.4822471803690242,0.4820361468630852,0.000211033505939,0.1525400791784631,0.1524828625684863,5.7216609976845634e-05
nonhr_hit,target_rate_history,365d,100.0,1000.0,2022,2,165873,167026,0.4820697300679376,0.4819129917153383,0.0001567383525992,0.1524633026905788,0.1524203967137466,4.290597683226372e-05
