event,family,window,ridge,test_year,n_train,n_test,core_logloss,challenger_logloss,logloss_improvement,core_brier,challenger_brier,brier_improvement
baserunner,contact_quality_expected,365d,0.0,2024,525092,177086,0.3030581015224231,0.3028075840372133,0.0002505174852097669,0.08271781007633866,0.08266986356569665,4.7946510642007945e-05
baserunner,discipline_contact,365d,0.0,2024,525564,177129,0.3032469023260559,0.30254847246445976,0.0006984298615961282,0.08277554677278022,0.08264458939481378,0.00013095737796643692
baserunner,pitch_mix_matchup,365d,1000.0,2024,517958,175989,0.3031687784835233,0.3030944496350974,7.432884842589749e-05,0.08277650483477822,0.08275934122232946,1.716361244875897e-05
baserunner,velocity_spin_extension,365d,1000.0,2024,525643,177079,0.3033224418968291,0.3033109160133849,1.1525883444218898e-05,0.0828000496872137,0.08279151594223734,8.533744976363389e-06
hr,contact_quality_expected,365d,0.0,2024,525092,177086,0.13352815293092693,0.13278309950981246,0.0007450534211144721,0.02901707896130686,0.02898601318518689,3.1065776119967164e-05
hr,discipline_contact,365d,1000.0,2024,525564,177129,0.1335385635270881,0.13319209943884244,0.00034646408824565156,0.029021285241132472,0.02899985152002474,2.143372110773381e-05
hr,pitch_mix_matchup,365d,100.0,2024,517958,175989,0.13340696303818086,0.1331609082911416,0.00024605474703925934,0.029033539296248825,0.02901549790874067,1.8041387508153928e-05
hr,velocity_spin_extension,365d,0.0,2024,525643,177079,0.13351549281194616,0.1334555578897323,5.993492221387231e-05,0.029013041297458544,0.029009092771260635,3.948526197908309e-06
k,contact_quality_expected,365d,100.0,2024,525092,177086,0.5243426723964116,0.5240495166209468,0.0002931557754648484,0.17147545234228784,0.17137445255151326,0.00010099979077457522
k,discipline_contact,365d,0.0,2024,525564,177129,0.5246515070464998,0.523727585472429,0.0009239215740707296,0.17159008094632303,0.17126067882402762,0.00032940212229540244
k,pitch_mix_matchup,90d,1000.0,2024,499614,166700,0.5235673271968728,0.523090547964935,0.00047677923193778504,0.17117635690418265,0.1710035000523579,0.00017285685182474864
k,velocity_spin_extension,90d,1000.0,2024,511930,169902,0.525026882115075,0.5241809959027334,0.0008458862123416067,0.17175210014084663,0.17144573436372565,0.00030636577712098156
nonhr_hit,contact_quality_expected,365d,0.0,2024,525092,177086,0.48225281880114373,0.4818848147411257,0.00036800406001802344,0.1523247065836261,0.1522129030678073,0.000111803515818798
nonhr_hit,discipline_contact,365d,1000.0,2024,525564,177129,0.48217959051691583,0.48147141603518634,0.0007081744817294955,0.15229499519841028,0.15207474079296796,0.00022025440544232167
nonhr_hit,pitch_mix_matchup,365d,1000.0,2024,517958,175989,0.482264929598654,0.4821483662493817,0.00011656334927234724,0.1523411256265592,0.15230469417031967,3.643145623952182e-05
nonhr_hit,velocity_spin_extension,season,0.0,2024,513055,170463,0.4820140698708542,0.4817388180861098,0.0002752517847444125,0.15223162411208205,0.1521492297752054,8.23943368766511e-05
