event,family,window,ridge,selection_2022_logloss_improvement,selection_2022_brier_improvement,validation_2023_logloss_improvement,validation_2023_brier_improvement,validation_2023_n,confirmation_2024_logloss_improvement,confirmation_2024_brier_improvement,confirmation_2024_n,earns_incremental_candidate_status
baserunner,contact_quality_expected,365d,0.0,0.0003461060298264873,6.594007553599457e-05,0.00017394402434395273,3.4622308950474356e-05,178996,0.0002505174852097669,4.7946510642007945e-05,177086,True
baserunner,discipline_contact,365d,0.0,0.0011531425149969299,0.0002197828513729877,0.0007368104327113434,0.00015970061366506194,179012,0.0006984298615961282,0.00013095737796643692,177129,True
baserunner,pitch_mix_matchup,365d,1000.0,3.825263714041238e-05,8.662172667026069e-06,5.222523513626065e-05,1.6241152699422723e-05,178136,7.432884842589749e-05,1.716361244875897e-05,175989,True
baserunner,velocity_spin_extension,365d,1000.0,8.620225695937789e-05,1.8884406478264504e-05,0.00012708825446205996,2.8440394522752377e-05,179037,1.1525883444218898e-05,8.533744976363389e-06,177079,True
hr,contact_quality_expected,365d,0.0,0.0008391527517438158,3.0761186799763834e-05,0.000897744487757618,3.271773679882142e-05,178996,0.0007450534211144721,3.1065776119967164e-05,177086,True
hr,discipline_contact,365d,1000.0,0.00030256304925532773,1.812131510182946e-05,0.00043939243180710075,2.8470625627569773e-05,179012,0.00034646408824565156,2.143372110773381e-05,177129,True
hr,pitch_mix_matchup,365d,100.0,0.00024216085989098302,1.15359111250192e-05,0.00025730864695053257,1.7070812970840926e-05,178136,0.00024605474703925934,1.8041387508153928e-05,175989,True
hr,velocity_spin_extension,365d,0.0,0.0001460850447455031,8.851883193078391e-06,0.0001575085152583644,9.222212878110675e-06,179037,5.993492221387231e-05,3.948526197908309e-06,177079,True
k,contact_quality_expected,365d,100.0,0.00028538443879089215,9.099757330641167e-05,0.0002221563421583861,7.60616230899569e-05,178996,0.0002931557754648484,0.00010099979077457522,177086,True
k,discipline_contact,365d,0.0,0.0009642147627043629,0.00033912638742497614,0.0009446905569990838,0.00033464912679795344,179012,0.0009239215740707296,0.00032940212229540244,177129,True
k,pitch_mix_matchup,90d,1000.0,0.0004950621570097846,0.0001768466922452694,0.0005026989453130737,0.00017521707087267413,168940,0.00047677923193778504,0.00017285685182474864,166700,True
k,velocity_spin_extension,90d,1000.0,0.001076806410238551,0.000383735580283151,0.0007097645091861393,0.00024998852366273083,171973,0.0008458862123416067,0.00030636577712098156,169902,True
nonhr_hit,contact_quality_expected,365d,0.0,0.0005419460110396845,0.00016291060242046296,0.00041377912494477975,0.00012813852444387708,178996,0.00036800406001802344,0.000111803515818798,177086,True
nonhr_hit,discipline_contact,365d,1000.0,0.0008381212815579131,0.00025668374732010224,0.00082080650821581,0.00025619830646142483,179012,0.0007081744817294955,0.00022025440544232167,177129,True
nonhr_hit,pitch_mix_matchup,365d,1000.0,0.00025929557683757043,8.08030331250209e-05,0.00025152504443026746,8.205878109973641e-05,178136,0.00011656334927234724,3.643145623952182e-05,175989,True
nonhr_hit,velocity_spin_extension,season,0.0,0.00042515096557926846,0.0001256220372204131,0.00032172851280892756,0.00010470420142016934,172435,0.0002752517847444125,8.23943368766511e-05,170463,True
