event,family,window,ridge,test_year,n_train,n_test,core_logloss,challenger_logloss,logloss_improvement,core_brier,challenger_brier,brier_improvement
baserunner,contact_quality_expected,365d,0.0,2022,169283,176813,0.3030093913524195,0.302663285322593,0.0003461060298264873,0.08263932577716851,0.08257338570163252,6.594007553599457e-05
baserunner,discipline_contact,365d,0.0,2022,169679,176873,0.3030927256631832,0.30193958314818625,0.0011531425149969299,0.08266311497319172,0.08244333212181873,0.0002197828513729877
baserunner,pitch_mix_matchup,365d,1000.0,2022,164092,175730,0.3029497978449319,0.3029115452077915,3.825263714041238e-05,0.08265113176135143,0.0826424695886844,8.662172667026069e-06
baserunner,velocity_spin_extension,365d,1000.0,2022,169710,176896,0.3031480381007461,0.3030618358437867,8.620225695937789e-05,0.08268550192022253,0.08266661751374427,1.8884406478264504e-05
hr,contact_quality_expected,365d,0.0,2022,169283,176813,0.1288999263381139,0.12806077358637008,0.0008391527517438158,0.027710478424431317,0.027679717237631553,3.0761186799763834e-05
hr,discipline_contact,365d,1000.0,2022,169679,176873,0.12883762808821908,0.12853506503896375,0.00030256304925532773,0.027700650789581914,0.027682529474480085,1.812131510182946e-05
hr,pitch_mix_matchup,365d,100.0,2022,164092,175730,0.1285951588580773,0.1283529979981863,0.00024216085989098302,0.027680287331860984,0.027668751420735965,1.15359111250192e-05
hr,velocity_spin_extension,365d,0.0,2022,169710,176896,0.12882397729675243,0.12867789225200693,0.0001460850447455031,0.027692090869761845,0.027683238986568767,8.851883193078391e-06
k,contact_quality_expected,365d,100.0,2022,169283,176813,0.5208112897464346,0.5205259053076438,0.00028538443879089215,0.17000515814663886,0.16991416057333245,9.099757330641167e-05
k,discipline_contact,365d,0.0,2022,169679,176873,0.5213083477379209,0.5203441329752165,0.0009642147627043629,0.17019261129059576,0.1698534849031708,0.00033912638742497614
k,pitch_mix_matchup,90d,1000.0,2022,163446,167228,0.5198981639325766,0.5194031017755668,0.0004950621570097846,0.1696535591445831,0.16947671245233784,0.0001768466922452694
k,velocity_spin_extension,90d,1000.0,2022,169364,170593,0.5214575233071542,0.5203807168969157,0.001076806410238551,0.17025728419870872,0.16987354861842557,0.000383735580283151
nonhr_hit,contact_quality_expected,365d,0.0,2022,169283,176813,0.4833009230609746,0.4827589770499349,0.0005419460110396845,0.15281548219665217,0.1526525715942317,0.00016291060242046296
nonhr_hit,discipline_contact,365d,1000.0,2022,169679,176873,0.4833080406137162,0.48246991933215827,0.0008381212815579131,0.15281887546515116,0.15256219171783106,0.00025668374732010224
nonhr_hit,pitch_mix_matchup,365d,1000.0,2022,164092,175730,0.48321541190532186,0.4829561163284843,0.00025929557683757043,0.15279505454421097,0.15271425151108595,8.08030331250209e-05
nonhr_hit,velocity_spin_extension,season,0.0,2022,169710,170910,0.4836052780954963,0.48318012712991704,0.00042515096557926846,0.15294889633708078,0.15282327429986037,0.0001256220372204131
