event,pruning_round,family_removed,test_year,selected_families,ablated_families,n_test,conditional_logloss_improvement,conditional_brier_improvement
k,0,contact_quality_expected,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,discipline_contact|pitch_mix_matchup|velocity_spin_extension,168896,7.060840677330926e-05,2.526309747402644e-05
k,0,contact_quality_expected,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,discipline_contact|pitch_mix_matchup|velocity_spin_extension,166558,8.502265180398982e-05,2.8362544682941637e-05
k,0,discipline_contact,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,contact_quality_expected|pitch_mix_matchup|velocity_spin_extension,168896,0.00029998371625772347,0.00010828406336360619
k,0,discipline_contact,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,contact_quality_expected|pitch_mix_matchup|velocity_spin_extension,166558,0.00023542846317747834,8.334807632776053e-05
k,0,pitch_mix_matchup,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,contact_quality_expected|discipline_contact|velocity_spin_extension,168896,0.0001005403698370877,3.3085836552176895e-05
k,0,pitch_mix_matchup,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,contact_quality_expected|discipline_contact|velocity_spin_extension,166558,0.00013287371261239134,5.1286856974835926e-05
k,0,velocity_spin_extension,2023,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,contact_quality_expected|discipline_contact|pitch_mix_matchup,168896,0.0005043362756642633,0.00016432322834358803
k,0,velocity_spin_extension,2024,contact_quality_expected|discipline_contact|pitch_mix_matchup|velocity_spin_extension,contact_quality_expected|discipline_contact|pitch_mix_matchup,166558,0.0005929780396790596,0.00021764051508216253
baserunner,0,contact_quality_expected,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,discipline_contact|velocity_spin_extension,178112,0.0001450555933211195,3.2106225601236105e-05
baserunner,0,contact_quality_expected,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,discipline_contact|velocity_spin_extension,175886,0.00019174298090723907,3.887151532273869e-05
baserunner,0,discipline_contact,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,contact_quality_expected|velocity_spin_extension,178112,0.000675768639679386,0.00013822018287988624
baserunner,0,discipline_contact,2024,contact_quality_expected|discipline_contact|velocity_spin_extension,contact_quality_expected|velocity_spin_extension,175886,0.0005496411782313082,8.9724029811597e-05
baserunner,0,velocity_spin_extension,2023,contact_quality_expected|discipline_contact|velocity_spin_extension,contact_quality_expected|discipline_contact,178112,0.00016440394624611665,3.3771961001918815e-05
