rank,team,games,i2_runs,i2_runs_per_game,i2_score_games,i2_score_pct
1,"Atlanta Braves",148,90,0.6081,49,33.11
2,"Chicago Cubs",147,87,0.5918,43,29.25
3,"Milwaukee Brewers",147,85,0.5782,42,28.57
4,"Pittsburgh Pirates",147,81,0.5510,34,23.13
5,"Minnesota Twins",143,78,0.5455,40,27.97
6,"Seattle Mariners",144,78,0.5417,44,30.56
7,"Miami Marlins",144,75,0.5208,47,32.64
8,"Philadelphia Phillies",145,74,0.5103,40,27.59
9,"New York Mets",147,73,0.4966,42,28.57
10,"Los Angeles Angels",143,70,0.4895,29,20.28
11,"Colorado Rockies",145,69,0.4759,34,23.45
12,"Tampa Bay Rays",144,67,0.4653,33,22.92
13,"San Francisco Giants",147,68,0.4626,35,23.81
14,"San Diego Padres",143,66,0.4615,33,23.08
15,"Houston Astros",145,65,0.4483,37,25.52
16,"Cincinnati Reds",146,65,0.4452,34,23.29
17,"Chicago White Sox",145,63,0.4345,32,22.07
18,"Arizona Diamondbacks",145,62,0.4276,29,20.00
19,"Washington Nationals",145,62,0.4276,37,25.52
20,"New York Yankees",146,62,0.4247,34,23.29
21,"Boston Red Sox",147,59,0.4014,36,24.49
22,"Texas Rangers",144,57,0.3958,35,24.31
23,"Los Angeles Dodgers",144,57,0.3958,39,27.08
24,"Detroit Tigers",145,57,0.3931,36,24.83
25,"Kansas City Royals",145,56,0.3862,33,22.76
26,"Athletics",144,53,0.3681,35,24.31
27,"Baltimore Orioles",147,52,0.3537,34,23.13
28,"St. Louis Cardinals",148,52,0.3514,32,21.62
29,"Cleveland Guardians",148,39,0.2635,23,15.54
30,"Toronto Blue Jays",146,38,0.2603,22,15.07
