season,gid,date,half,i1_pa,i1_runs,i1_pitches,i2_start_slot,same_pitcher_i2,i2_pa,i2_runs,i2_pitches
2025,CHN202503180,20250318,top,3,0,9,4,1,5,0,26
2025,CHN202503180,20250318,bottom,4,0,15,5,1,5,1,19
2025,CHN202503190,20250319,top,3,0,8,4,1,5,2,17
2025,CHN202503190,20250319,bottom,3,0,11,4,1,4,0,17
2025,ARI202503270,20250327,top,5,0,17,6,1,7,3,29
2025,ARI202503270,20250327,bottom,5,1,13,6,1,4,1,20
2025,CHA202503270,20250327,top,5,0,24,6,1,5,0,10
2025,CHA202503270,20250327,bottom,4,0,20,5,1,7,3,21
2025,CIN202503270,20250327,top,3,0,13,4,1,3,0,14
2025,CIN202503270,20250327,bottom,6,1,27,7,1,3,0,9
2025,HOU202503270,20250327,top,5,0,13,6,1,4,0,12
2025,HOU202503270,20250327,bottom,4,0,17,5,1,6,1,22
2025,KCA202503270,20250327,top,6,0,22,7,1,3,0,14
2025,KCA202503270,20250327,bottom,3,0,9,4,1,4,0,15
2025,LAN202503270,20250327,top,3,0,13,4,1,5,0,18
2025,LAN202503270,20250327,bottom,3,0,9,4,1,4,1,8
2025,MIA202503270,20250327,top,3,0,14,4,1,3,0,13
2025,MIA202503270,20250327,bottom,3,0,20,4,1,3,0,13
2025,NYA202503270,20250327,top,3,0,9,4,1,4,0,12
2025,NYA202503270,20250327,bottom,4,1,17,5,1,4,1,14
2025,SDN202503270,20250327,top,6,1,26,7,1,4,0,21
2025,SDN202503270,20250327,bottom,6,2,29,7,1,4,0,14
2025,SEA202503270,20250327,top,3,0,14,4,1,3,0,7
2025,SEA202503270,20250327,bottom,4,0,18,5,1,4,0,13
2025,SLN202503270,20250327,top,3,0,6,4,1,6,0,26
2025,SLN202503270,20250327,bottom,6,1,26,7,1,5,2,21
2025,TEX202503270,20250327,top,3,0,10,4,1,3,0,14
2025,TEX202503270,20250327,bottom,4,0,22,5,1,6,1,25
2025,TOR202503270,20250327,top,4,1,15,5,1,5,1,19
2025,TOR202503270,20250327,bottom,3,0,14,4,1,3,0,14
2025,WAS202503270,20250327,top,3,0,12,4,1,3,0,14
2025,WAS202503270,20250327,bottom,3,0,10,4,1,3,0,13
2025,ARI202503280,20250328,top,4,0,17,5,1,6,1,25
2025,ARI202503280,20250328,bottom,4,0,13,5,1,6,2,21
2025,HOU202503280,20250328,top,3,0,12,4,1,5,2,16
2025,HOU202503280,20250328,bottom,3,0,13,4,1,3,0,12
2025,LAN202503280,20250328,top,5,0,21,6,1,4,1,16
2025,LAN202503280,20250328,bottom,3,0,10,4,1,3,0,13
2025,MIA202503280,20250328,top,3,0,9,4,1,4,0,18
2025,MIA202503280,20250328,bottom,3,0,8,4,1,5,0,21
2025,SDN202503280,20250328,top,4,0,18,5,1,3,0,15
2025,SDN202503280,20250328,bottom,4,1,13,5,1,6,1,13
2025,SEA202503280,20250328,top,5,0,18,6,1,4,0,14
2025,SEA202503280,20250328,bottom,4,0,17,5,1,3,0,10
2025,TBA202503280,20250328,top,5,0,12,6,1,3,0,7
2025,TBA202503280,20250328,bottom,3,0,9,4,1,3,0,10
2025,TEX202503280,20250328,top,3,0,15,4,1,5,0,20
2025,TEX202503280,20250328,bottom,3,0,10,4,1,4,0,19
2025,TOR202503280,20250328,top,3,0,16,4,1,3,0,12
2025,TOR202503280,20250328,bottom,5,0,23,6,1,4,0,18
2025,ARI202503290,20250329,top,5,0,22,6,1,3,0,10
2025,ARI202503290,20250329,bottom,3,0,18,4,1,6,1,19
2025,CHA202503290,20250329,top,5,0,34,6,1,4,0,9
2025,CHA202503290,20250329,bottom,4,0,17,5,1,4,0,12
2025,CIN202503290,20250329,top,3,0,16,4,1,6,1,22
2025,CIN202503290,20250329,bottom,3,0,14,4,1,5,0,20
2025,HOU202503290,20250329,top,5,0,21,6,1,3,0,8
2025,HOU202503290,20250329,bottom,3,0,22,4,1,3,0,10
2025,KCA202503290,20250329,top,4,0,18,5,1,5,1,26
2025,KCA202503290,20250329,bottom,3,0,12,4,1,3,0,8
2025,LAN202503290,20250329,top,8,2,41,9,1,5,0,24
2025,LAN202503290,20250329,bottom,4,1,17,5,1,5,1,26
2025,MIA202503290,20250329,top,5,1,25,6,1,3,0,12
2025,MIA202503290,20250329,bottom,4,0,19,5,1,4,0,12
2025,NYA202503290,20250329,top,4,0,11,5,1,8,3,30
2025,NYA202503290,20250329,bottom,9,4,30,1,1,7,3,27
2025,SDN202503290,20250329,top,4,0,17,5,1,4,0,14
2025,SDN202503290,20250329,bottom,3,0,11,4,1,4,0,16
2025,SEA202503290,20250329,top,3,0,8,4,1,3,0,15
2025,SEA202503290,20250329,bottom,5,0,15,6,1,5,1,17
2025,SLN202503290,20250329,top,3,0,12,4,1,5,1,15
2025,SLN202503290,20250329,bottom,5,1,18,6,1,4,0,11
2025,TBA202503290,20250329,top,3,0,10,4,1,3,0,17
2025,TBA202503290,20250329,bottom,4,0,16,5,1,6,0,26
2025,TEX202503290,20250329,top,5,0,26,6,1,7,1,39
2025,TEX202503290,20250329,bottom,7,2,19,8,1,3,0,15
2025,TOR202503290,20250329,top,5,2,15,6,1,3,0,13
2025,TOR202503290,20250329,bottom,6,2,21,7,1,3,0,9
2025,WAS202503290,20250329,top,4,0,19,5,1,4,0,12
2025,WAS202503290,20250329,bottom,4,0,19,5,1,6,2,25
2025,ARI202503300,20250330,top,4,0,17,5,1,4,1,10
2025,ARI202503300,20250330,bottom,4,0,17,5,1,5,0,27
2025,CHA202503300,20250330,top,6,2,25,7,1,3,0,11
2025,CHA202503300,20250330,bottom,6,2,16,7,1,3,0,13
2025,CIN202503300,20250330,top,3,0,14,4,1,3,0,11
2025,CIN202503300,20250330,bottom,3,0,9,4,1,3,0,11
2025,KCA202503300,20250330,top,3,0,16,4,1,6,1,34
2025,KCA202503300,20250330,bottom,4,0,20,5,1,4,0,16
2025,MIA202503300,20250330,top,3,0,10,4,1,4,1,22
2025,MIA202503300,20250330,bottom,4,0,11,5,1,5,1,17
2025,NYA202503300,20250330,top,6,1,23,7,1,3,0,10
2025,NYA202503300,20250330,bottom,5,2,31,6,1,4,1,14
2025,SDN202503300,20250330,top,3,0,15,4,1,3,0,10
2025,SDN202503300,20250330,bottom,5,1,15,6,1,6,0,26
2025,SEA202503300,20250330,top,4,0,6,5,1,5,0,17
2025,SEA202503300,20250330,bottom,4,0,15,5,1,3,0,10
2025,SLN202503300,20250330,top,5,1,17,6,1,3,0,8
