opening_total,n_games,p_i2_yes_run,p_i2_no_run,fair_american_yes_run,fair_american_no_run
6.0,12,0.3333333333,0.6666666667,200,-200
6.5,149,0.3825503356,0.6174496644,161,-161
7.0,655,0.3618320611,0.6381679389,176,-176
7.5,1612,0.4193548387,0.5806451613,138,-138
8.0,2146,0.4226467847,0.5773532153,137,-137
8.5,2871,0.4385231627,0.5614768373,128,-128
9.0,1839,0.4410005438,0.5589994562,127,-127
9.5,875,0.4788571429,0.5211428571,109,-109
10.0,261,0.4980842912,0.5019157088,101,-101
10.5,186,0.5537634409,0.4462365591,-124,124
11.0,124,0.5241935484,0.4758064516,-110,110
