k_exact_to_event_outs,k_event_outs_to_event,logloss_2024
0,0,0.23371277563655338
0,5,0.23371277563655338
0,10,0.23371277563655338
0,20,0.23371277563655338
0,40,0.23371277563655338
0,80,0.23371277563655338
0,160,0.23371277563655338
0,320,0.23371277563655338
0,640,0.23371277563655338
0,1280,0.23371277563655338
5,0,0.2328094319518869
5,5,0.2325221747367575
5,10,0.23249512914756623
5,20,0.23246817144206736
5,40,0.23244138593445887
5,80,0.23241493067945693
5,160,0.23238908188453503
5,320,0.23236425867176083
5,640,0.232340954301534
5,1280,0.2323195837322956
10,0,0.23375289367945273
10,5,0.23344040627994903
10,10,0.23341337450441946
10,20,0.23338644401267022
10,40,0.23335971136202588
10,80,0.23333335613898476
10,160,0.23330768858030274
10,320,0.23328317397589543
10,640,0.23326036258349722
10,1280,0.2332397563185218
20,0,0.23564492064476994
20,5,0.2353086241997089
20,10,0.23528161753894575
20,20,0.23525473663879518
20,40,0.23522810073488445
20,80,0.23520193009480844
20,160,0.23517660159944997
20,320,0.23515267621382874
20,640,0.23513082848649422
20,1280,0.2351117440631198
40,0,0.2392859332973393
40,5,0.23892788867572526
40,10,0.2389009245225694
40,20,0.2388741278941213
40,40,0.2388476576467981
40,80,0.2388218074408933
40,160,0.23879708115273582
40,320,0.2387742370097001
40,640,0.23875422410292474
40,1280,0.2387381243949074
80,0,0.24604943593857226
80,5,0.24567229732052337
80,10,0.24564539947836764
80,20,0.24561873515128466
80,40,0.2455925280918775
80,80,0.24556719779450734
80,160,0.2455434818403356
80,320,0.24552253561024404
80,640,0.2455059033847043
80,1280,0.24549552090189547
160,0,0.2581429674957434
160,5,0.2577498556379807
160,10,0.25772305659619926
160,20,0.25769659101525033
160,40,0.257670785311571
160,80,0.25764626839559995
160,160,0.2576241949783958
160,320,0.2576064866805545
160,640,0.2575959085923733
160,1280,0.2575961676530916
320,0,0.2787955628491573
320,5,0.2783899135417732
320,10,0.2783632639948486
320,20,0.27833710120756294
320,40,0.2783119145579518
320,80,0.27828867784959144
320,160,0.2782692655135531
320,320,0.27825698685639233
320,640,0.27825691343014886
320,1280,0.2782761920328533
640,0,0.3121377552884842
640,5,0.31172306433620744
640,10,0.3116966463111554
640,20,0.31167095346046414
640,40,0.3116467312730708
640,80,0.31162550178677045
640,160,0.31161030149862196
640,320,0.31160672947087475
640,640,0.31162379617394653
640,1280,0.31167482383715284
1280,0,0.3624695634072168
1280,5,0.36204900283301744
1280,10,0.3620229291182643
1280,20,0.36199793367319244
1280,40,0.36197513768189676
1280,80,0.3619568609722099
1280,160,0.3619478236709524
1280,320,0.36195697788162373
1280,640,0.36199935252654236
1280,1280,0.36209844750636166
